	year	month	arr_flights	arr_del15	 arr_delay	delay_type	value
476	2004	9	585125	75147	3706807	security_delay	23856
477	2004	10	610037	108341	4783704	security_delay	11628
478	2004	11	584610	113696	5731901	security_delay	18773
479	2004	12	606731	154041	8247684	security_delay	26542
480	2005	1	594923	143316	7621044	security_delay	13152
481	2005	2	545332	111897	5470941	security_delay	7289
482	2005	3	617540	131384	6825241	security_delay	22559
483	2005	4	594492	90137	4264225	security_delay	8652
484	2005	5	614802	93619	4564393	security_delay	5329
485	2005	6	609195	139742	7817086	security_delay	10144
486	2005	7	627961	166767	10281610	security_delay	13948
487	2005	8	630904	141431	7580697	security_delay	20258
488	2005	9	574253	87235	4050498	security_delay	6318
489	2005	10	592712	99904	4991000	security_delay	9160
490	2005	11	566138	106543	5203843	security_delay	5883
491	2005	12	572343	154090	7829941	security_delay	18353
492	2006	1	581287	112299	5852565	security_delay	8056
493	2006	2	531247	118610	5930072	security_delay	22340
494	2006	3	605217	135897	6994427	security_delay	18280
495	2006	4	585351	118715	5972654	security_delay	23017
496	2006	5	602919	122693	6388249	security_delay	7559
497	2006	6	598315	150683	8832066	security_delay	11849
498	2006	7	621244	150771	8902264	security_delay	11401
499	2006	8	628732	140784	7646042	security_delay	64327
500	2006	9	584937	127900	7028322	security_delay	13413
501	2006	10	611718	153067	8328588	security_delay	11375
502	2006	11	586197	126990	6611296	security_delay	10087
503	2006	12	604758	157128	8700494	security_delay	19667
504	2007	1	621559	150144	7856768	security_delay	12124
505	2007	2	565604	158435	8883527	security_delay	14144
506	2007	3	639209	152689	8593413	security_delay	13737
